año,mes,especie_monetaria_circulacion,liquidez_total_m2,oferta_monetaria_m1
2017,1,12979.48,45257.48,21912.19
2017,2,13147.25,45980.08,22193.52
2017,3,13301.04,47075.93,23032.94
2017,4,13582.73,47310.79,22842.3
2017,5,13642.39,47129.41,22703.75
2017,6,13730.2,47586.69,22824.91
2017,7,13776.09,47499.92,22812.3
2017,8,13943.51,47775.11,22992.93
2017,9,13965.81,47658.54,22779.33
2017,10,14047.74,48166.55,23149.97
2017,11,14170.54,48835.51,23657
2017,12,14858.68,50790.78,24530.51
2018,1,14492.2,49914.38,23951.93
2018,2,14508.14,50338.67,24065.59
2018,3,14721.22,51152.9,24427.19
2018,4,14863,51100.73,23979.42
2018,5,14799.45,50897.41,23880.58
2018,6,14910.82,51259.86,24057.5
2018,7,15003.07,51299.67,23983.44
2018,8,15190.49,51663.34,24297.85
2018,9,15151.68,51720.47,24092.29
2018,10,15327.62,51826.37,24261.75
2018,11,15346.37,52167.68,24542.6
2018,12,15915.87,53664.74,25259.94
2019,1,15501.35,52873.4,24643.71
2019,2,15514.71,53416.42,24901.06
2019,3,15616.17,53747.06,24995.89
2019,4,15794.43,54011.82,24883.39
2019,5,15811.22,54009.15,24695.29
2019,6,15845.23,54271.29,24720.54
2019,7,15891.79,54680.12,24921.39
2019,8,16135.62,55371.99,25033.94
2019,9,16047.57,55160.34,24989
2019,10,16394.3,55772.32,25209.84
2019,11,16390.25,56147.25,25363.35
2019,12,16966.2,57967.69,26196.71
2020,1,16682.28,57594.5,25715.65
2020,2,16683.73,58187.41,26136.51
2020,3,17135.95,57896.9,26319.28
2020,4,17848.07,58463.93,26715.36
2020,5,18152.7,58949.96,27138.48
2020,6,18209.89,59394,27401.06
2020,7,18019.86,59501.88,27144.52
2020,8,17943.98,60086.98,27274.79
2020,9,17850.41,60492.98,27283.21
2020,10,17528.51,61464.41,27320.85
2020,11,17432.26,61319.57,27491.46
2020,12,17959.92,63821.32,28409.5
2021,1,17679.28,63141.97,27826.33
2021,2,17660.98,63199.85,27818.05
2021,3,17737.47,63928.88,28433.19
2021,4,17930.83,64332.16,28241.93
2021,5,17934.3,64513.99,28295.87
2021,6,17907.24,65050.55,28252.74
2021,7,17925.17,65724.75,28472.71
2021,8,17956.22,66318.48,28673.3
2021,9,17965.89,67114.03,28930.55
2021,10,18273.42,67692.77,29161.43
2021,11,18128.51,67919.47,29428.06
2021,12,18683.97,70075.39,30254.96
2022,1,18352.07,69239.45,29590.12
2022,2,18439.18,70046.45,29554.67
2022,3,18360.04,71033.33,30176.47
2022,4,18559.34,70908.39,29664.74
2022,5,18436.59,71141.79,29594.13
2022,6,18555.11,71391.04,29541.45
2022,7,18550.73,71671.62,29414.37
2022,8,18588.49,72494.98,29650.81
2022,9,18602.56,72737.82,29507.66
2022,10,18689.49,72880.73,29442.38
2022,11,18957.9,73420.53,29667.63
2022,12,19226.42,75310.32,30190.8
2023,1,18900.64,74852.72,29932.29
2023,2,18878.35,75331.19,29945.17
2023,3,18995.92,76768.81,30788.16
2023,4,19160.14,76697.24,29948.66
2023,5,19110.34,76539.04,29954.21
2023,6,19120.12,76519.02,29696.36
2023,7,19149.79,76563.01,29579.5
2023,8,19249.5,77661.06,29807.87
2023,9,19304.07,77724.47,29606.27
2023,10,19332.48,77979.61,29676.94
2023,11,19305.94,78387.23,29967.92
2023,12,19818.38,80343.61,30488.99
2024,1,19496.48,79308.68,29914.05
2024,2,19507.7,80099.19,29922.63
2024,3,19551.16,80747.7,30055.16
2024,4,19659.83,81192.92,29888.51
2024,5,19641.13,81633.84,29633.51
2024,6,19682.31,82395.4,29738.44
2024,7,19647.5,82912.15,29737.02
2024,8,19792.52,84163.46,30027.81
2024,9,19754.7,84617.5,30079.87
2024,10,19866.15,85874.27,30432.59
2024,11,19965.19,86665.57,31044.44
2024,12,20302.2,88484.87,31461.76
2025,1,19925.58,88682.12,31282.8
2025,2,19866.58,89845.34,31354.5
2016,12,13261.12,46188.27,22634.8
2016,11,12414.64,44001.39,21140.03
2016,10,12379.56,43617.73,20805.08
2016,9,12367.71,43257.45,20794.54
2016,8,12291.67,42704.33,20631.45
2016,7,12161.62,41624.46,20253.32
2016,6,12033.69,41331.59,20216.59
2016,5,12019.26,40646.73,19867.41
2016,4,12036.93,40546.65,19551.04
2016,3,11563.48,40394.85,19534.08
2016,2,11504.23,39941.03,19250.48
2016,1,11494.35,39773.99,18841.48
2025,3,122366.20,90599.4,31766.8
2025,4,123384.00,91724.2,31659.8
2025,5,125208.90,93182.1,32026.8
